titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Đi Săn Tự Động Bằng Phân Thân,Chapter 32,"Thể loại:Action, Manhwa, Martial Arts, Truyện Màu",Lượt xem:1.370K,Theo dõi:29K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/11/di-san-tu-dong-bang-phan-than.jpg,https://www.nettruyenup.com/truyen-tranh/di-san-tu-dong-bang-phan-than-68875
Chiêu Hồn Giả Siêu Phàm,Chapter 20,"Thể loại:Action, Manhwa, Truyện Màu",Lượt xem:649K,Theo dõi:21K,Tình trạng:Đang tiến hành,Tôi chưa bao giờ nghĩ mình có thể trở thành một thợ săn. Tôi chưa bao giờ nghĩ mình sẽ có cơ hội. Nhưng rồi... 'Tháp thử thách' đã chọn tất cả các ứng cử viên phù hợp từ Trái đất.  Vui lòng chọn độ khó của bạn.  Phần thưởng bạn nhận được sẽ tỷ lệ thuận với độ khó bạn đã chọn.  Tôi đã được trao một cơ hội ngay bây giờ.,//st.nettruyenup.com/data/comics/113/chieu-hon-gia-sieu-pham.jpg,https://www.nettruyenup.com/truyen-tranh/chieu-hon-gia-sieu-pham-75889
Thành Viên Trong Gia Đình Phát Cuồng Vì Tôi,Chapter 61,"Thể loại:Chuyển Sinh, Comedy, Manhwa, Ngôn Tình, Romance, Truyện Màu, Webtoon",Lượt xem:1.369K,Theo dõi:27K,Tình trạng:Đang tiến hành,"Dũng sĩ Devota lớn lên từ bàn tay của giáo hoàng Maggiore, cả cuộc đời động một chút là bị phạt mà không một lần được nói chuyện thoải mái, thậm chí còn bị sát hại một cách tàn nhẫn sau khi tiêu diệt được ma vương. Vậy nên vị thần đã dành tặng món quà tái sinh cho Devota để kiếp này Devota được sống hạnh phúc. Nhưng mà chuyện gì đây. Dù tái sinh là con gái duy nhất của một gia đình quý tộc, nhưng lại gặp số phận phải ở cô nhi viện được điều hành bởi một kẻ xấu xa trần tục trong hoàn cảnh vô cùng thiếu thốn. Nếu đã như vậy thì thật là oan ức, nhất định phải trả thù! Devota quyết tâm trả thù kiếp trước, cô sống cuộc đời của Dia và rồi một đề nghị nhận nuôi bất ngờ đã đến với Dia. Gia tộc đưa ra đề nghị nhận nuôi là một gia tộc bàng hệ của đế quốc, tên Leopardia. Dia ban đầu vốn dè chừng với họ nhưng sau đó dần dần đón nhận họ như là một gia đình và bắt đầu mở lòng hơn. Thế nhưng…. “Cho chị bế một lần thôi được không?” “Con thích mẹ hơn, hay thích cha hơn? ” “Dia à, gọi anh một tiếng anh đi!” Tình yêu của cái gia đình này hơi bị quá đà! À không phải là vô cùng dạt dào ấy chứ! Nhờ vào sự thể hiện tình cảm đa dạng mỗi ngày của các thành viên nhà công tước Leopardia mà chuyện yêu đương với Lell, người mà cô đã phải lòng ngay từ cái nhìn đầu tiên thay vì trả thù, đã gặp trở ngại. Trong khi đó, Dia vẫn vật lộn trong việc trả thù Giáo hoàng và tạo bóng đen nuốt chửng đế quốc. Liệu cuộc đời thứ 2 của Dia có yên ổn không?",//st.nettruyenup.com/data/comics/77/thanh-vien-trong-gia-dinh-phat-cuong-vi-6638.jpg,https://www.nettruyenup.com/truyen-tranh/thanh-vien-trong-gia-dinh-phat-cuong-vi-toi-727818
Mẹ Tôi Là Chòm Sao Bảo Hộ,Chapter 40,Tình trạng:Đang tiến hành,Bình luận:585,Ngày cập nhật:26 phút trước,Lượt xem:585K,,//st.nettruyenup.com/data/comics/82/me-toi-la-chom-sao-bao-ho.jpg,https://www.nettruyenup.com/truyen-tranh/me-toi-la-chom-sao-bao-ho-640835
Siêu Phàm Sát Thần,Chapter 17,Tình trạng:Đang tiến hành,Bình luận:655,Ngày cập nhật:31 phút trước,Lượt xem:1.110K,,//st.nettruyenup.com/data/comics/124/sieu-pham-sat-than.jpg,https://www.nettruyenup.com/truyen-tranh/sieu-pham-sat-than-73596
Thiếu Niên Kiếm Sư,Chapter 29,"Thể loại:Action, Adventure, Chuyển Sinh, Comedy, Fantasy, Manhwa, Shounen, Truyện Màu",Lượt xem:338K,Theo dõi:11K,Tình trạng:Đang tiến hành,"Lấy bối cảnh là tựa game VR nổi tiếng khắp thế giới ""Hero Quest"". Một ngày nọ, một người chơi có nickname là ""Harang"" bị mặc kẹt trong thế giới của game.",//st.nettruyenup.com/data/comics/151/thieu-nien-kiem-su.jpg,https://www.nettruyenup.com/truyen-tranh/thieu-nien-kiem-su-539110
Con Gái Tôi Là Một Thiên Tài Âm Nhạc,Chapter 60,Tình trạng:Đang tiến hành,Bình luận:772,Ngày cập nhật:31 phút trước,Lượt xem:978K,"Tôi phát cuồng vì âm nhạc và dành cả cuộc đời mình cho nó, nhưng tôi lại bỏ bê con gái mình. Tôi nhanh chóng bắt đầu hối hận về điều đó cho phần còn lại của cuộc đời thảm hại của mình. Cứ như vậy tôi chết đi sống lại, nhưng khi mở mắt ra đã là 10 năm rồi. Lần này, tôi thề sẽ trở thành một người cha tốt. Nhân tiện, tôi nghĩ con gái tôi là một thiên tài âm nhạ. Papa đã được quay về quá khứ rồiiii, liệu papa có thể thay đổi được tương lại hag không, và có thể bảo vệ được thứ tình cảm thiêng liêng của cuộc đời hay không? Và tài năng của bé con đang dần bộc lộ...?",//st.nettruyenup.com/data/comics/108/con-gai-toi-la-mot-thien-tai-am-nhac.jpg,https://www.nettruyenup.com/truyen-tranh/con-gai-toi-la-mot-thien-tai-am-nhac-67180
Ta Không Muốn Trùng Sinh Đâu,Chapter 122,Tình trạng:Đang tiến hành,Bình luận:19K,Ngày cập nhật:2 giờ trước,Lượt xem:12M,"Thật sự không nghĩ tới, xã hội tinh anh, Minh tinh độc thân Trần Hán thăng thế mà trùng sinh, tỉnh lại sau giấc ngủ quay lại thành học sinh tốt nghiệp cấp ba. Ngã tư đường Trần Hán thăng cũng tại do dự, bảo tàng nữ hài Thẩm Ấu Sở cùng Bạch Nguyệt Tiêu, hắn sẽ lựa chọn ai?",//st.nettruyenup.com/data/comics/249/ta-khong-muon-trung-sinh-dau.jpg,https://www.nettruyenup.com/truyen-tranh/ta-khong-muon-trung-sinh-dau-65017
Ác Nữ Trùng Sinh,Chapter 145,"Thể loại:Cổ Đại, Drama, Fantasy, Historical, Josei, Manhwa, Ngôn Tình, Romance, Truyện Màu",Lượt xem:5.613K,Theo dõi:49K,Tình trạng:Đang tiến hành,"Từ thời thơ ấu, trách nhiệm đảm bảo thành công của anh trai luôn ám ảnh Artezia Rosan, ràng buộc tự do hạnh phúc của cô. Là một bậc thầy thao túng và kẻ đa mưu túc trí, cô trở thành cánh tay phải đắc lực giúp anh trai giành lấy ngai vàng. Cũng từ đó, lòng phản bội sâu sắc ngấm ngầm trong hắn ta, và kết cục Artezia bị giam lỏng như một sự trả giá cho những tội ác cô đã gây ra. Sau khi được Đại công tước Cedric Ebron giải cứu, cô thề sẽ giúp anh lật đổ vị Hoàng đế tàn độc kia bằng cách hiến tế bản thân mình cho ma thuật cấm. Tỉnh giấc vào quá khứ vài năm trước, cô quyết tâm rời bỏ gia đình, và đứng về phe Cedric bằng mọi giá. Một giọt máu đào hơn ao nước lã, liệu Artezia có thể tiêu diệt triệt để anh trai mình trong khi mối tình lãng mạn của chính cô đang nở rộ giữa thời điểm hỗn loạn này?",//st.nettruyenup.com/data/comics/20/ac-nu-trung-sinh.jpg,https://www.nettruyenup.com/truyen-tranh/ac-nu-trung-sinh-699080
"Sau Khi Bị Dũng Sĩ Cướp Đi Mọi Thứ, Tôi Đã Lập Tổ Đội Cùng Với Mẹ Của Dũng Sĩ!",Chapter 2,"Thể loại:Action, Adult, Ecchi, Fantasy, Isekai, Manga",Tình trạng:Đang tiến hành,Bình luận:652,Tác giả:Ishino Yassan,Bị NTR? Đi ntr lại thằng bố của nó.,//st.nettruyenup.com/data/comics/177/sau-khi-bi-dung-si-cuop-di-moi-thu-toi-d-8003.jpg,https://www.nettruyenup.com/truyen-tranh/sau-khi-bi-dung-si-cuop-di-moi-thu-toi-da-lap-to-doi-cung-voi-me-cua-dung-si-76721
Tổng Tài ! Đừng Trả Hàng Nha !,Chapter 75,Tình trạng:Đang tiến hành,Bình luận:3.606,Ngày cập nhật:1 giờ trước,Lượt xem:5.633K,"Triệu Hạo là tổng tài của một tập đoàn lớn, đẹp trai, tài giỏi, giàu có, bời vì độc thân nhiều năm nên bị mọi người đồn là đồng tính luyến ái. Để loại bỏ lời đồn nên tổng tài đại nhân bỏ số tiền lớn ra để mua robot cao cấp Lục Thanh để đóng giả bạn gái của mình. Nhưng tại sao một robot rõ ràng chỉ làm theo trình tự này, ngoại trừ năng lực cao siêu ra lại có nhiều ý nghĩ dư thừa như vậy ? Lục Thanh tỏ vẻ đóng giả làm robot như thế này phải chịu áp lực rất lơn a . . . .",//st.nettruyenup.com/data/comics/105/tong-tai-dung-tra-hang-nha.jpg,https://www.nettruyenup.com/truyen-tranh/tong-tai-dung-tra-hang-nha-198170
Kẻ Bị Vứt Bỏ Cường Đại Nhất,Chapter 15,Tình trạng:Đang tiến hành,Bình luận:597,Ngày cập nhật:1 giờ trước,Lượt xem:601K,,//st.nettruyenup.com/data/comics/164/ke-bi-vut-bo-cuong-dai-nhat.jpg,https://www.nettruyenup.com/truyen-tranh/ke-bi-vut-bo-cuong-dai-nhat-74148
Công Chúa Bé Con Nhìn Vào Cửa Sổ Trạng Thái,Chapter 39,"Thể loại:Chuyển Sinh, Fantasy, Manhwa, Ngôn Tình, Romance, Xuyên Không",Lượt xem:1.957K,Theo dõi:38K,Tình trạng:Đang tiến hành,"Tôi đã bị lên án là một kẻ phản diện độc ác và bị kết án tử hình. Nhưng bằng một cách thần kì nào đó, tôi đã được quay trở về quá khứ khi mình còn là một đứa trẻ mới lên năm. Khoảnh khắc tôi đối mặt với cha mình, người trông bây giờ đã trẻ hơn hẳn, một cửa sổ màu xanh kỳ lạ bỗng hiện trước mắt tôi — đó là một cửa sổ màu xanh nhạt tiết lộ nội tâm của người khác.",//st.nettruyenup.com/data/comics/188/cong-chua-be-con-nhin-vao-cua-so-trang-t-4224.jpg,https://www.nettruyenup.com/truyen-tranh/cong-chua-be-con-nhin-vao-cua-so-trang-thai-72124
Lời Tỏ Tình Đi Lạc,Chapter 49,Tình trạng:Đang tiến hành,Bình luận:302,Ngày cập nhật:1 giờ trước,Lượt xem:483K,Pan Ha Yan đã chuẩn bị kỳ công và hồi hộp biết nhường nào cho kế hoạch tỏ tình với đàn anh trong trường mà mình thầm thương trộm nhớ. Nhưng oái oăm thay hộp quà tỏ tình ấy lại bay trúng đầu Seol Park Ha – yang lake của trường trung học khiến cậu hiểu lầm. Pan Ha Yan đã phải cực khổ và nỗ lực để không bị yang lake phát hiện ra việc tỏ tình nhầm. Còn Seol Park Ha thì lại vui đùa trên sự đau khổ đó của Pan Ha Yan. Liệu Pan Ha Yan có thoát khỏi vòng vây hay là rơi vào lưới tình của Seol Park Ha đây?,//st.nettruyenup.com/data/comics/205/loi-to-tinh-di-lac.jpg,https://www.nettruyenup.com/truyen-tranh/loi-to-tinh-di-lac-71629
